Source_DC,Destination_DC,SKU,PerUnitTransportationCost,TransitTimeDays
DC_1,DC_2,SKU_9,2.2892557034879175,3
DC_1,DC_2,SKU_10,1.423998224180599,9
DC_1,DC_2,SKU_11,3.830726159426584,2
DC_1,DC_2,SKU_12,1.7935774920376255,6
DC_1,DC_2,SKU_13,4.858417992649515,7
DC_1,DC_2,SKU_14,0.8464076017923483,6
DC_1,DC_2,SKU_15,0.807503471805219,9
DC_1,DC_2,SKU_16,0.9143014373711394,3
DC_1,DC_2,SKU_17,3.3064195023061975,2
DC_1,DC_2,SKU_18,1.7033091253589359,2
DC_1,DC_2,SKU_19,3.6670653994572846,6
DC_1,DC_2,SKU_20,1.6290187056099612,9
DC_1,DC_2,SKU_21,3.6798344144541932,6
DC_1,DC_2,SKU_22,1.908083273961417,4
DC_1,DC_2,SKU_23,1.622859650772119,2
DC_1,DC_2,SKU_24,4.397430351252612,1
DC_1,DC_2,SKU_25,1.0267971864087588,9
DC_1,DC_2,SKU_26,1.1967287566897393,6
DC_1,DC_2,SKU_27,4.725756931852342,5
DC_1,DC_2,SKU_28,1.4118468536090443,6
DC_1,DC_2,SKU_29,3.31342146288699,9
DC_1,DC_2,SKU_30,0.7272002498558356,1
DC_1,DC_2,SKU_31,0.5692770126108881,4
DC_1,DC_2,SKU_32,4.713202127359486,9
DC_1,DC_2,SKU_33,2.5261441076430065,1
DC_1,DC_2,SKU_34,1.4921766206298686,9
DC_1,DC_2,SKU_35,4.27910722998992,6
DC_1,DC_2,SKU_36,4.8965312949752455,1
DC_1,DC_2,SKU_37,2.7411817687559106,6
DC_1,DC_2,SKU_38,1.97170089868318,4
DC_1,DC_2,SKU_39,3.8677295735430413,9
DC_1,DC_2,SKU_40,2.453094377189415,4
DC_1,DC_2,SKU_41,2.454814935529744,9
DC_1,DC_2,SKU_42,2.472732410138426,3
DC_1,DC_2,SKU_43,3.1525429526811375,1
DC_1,DC_2,SKU_44,2.960941846442201,9
DC_1,DC_2,SKU_45,1.5890993599139476,4
DC_1,DC_2,SKU_46,1.418110995823604,7
DC_1,DC_2,SKU_47,1.3967165141006037,7
DC_1,DC_2,SKU_48,0.725083595695005,4
DC_1,DC_2,SKU_49,0.5618549930510537,1
DC_1,DC_2,SKU_50,1.4648291734692405,5
DC_1,DC_3,SKU_1,0.8471532584281184,2
DC_1,DC_3,SKU_2,0.7813683308428059,2
DC_1,DC_3,SKU_3,3.7973006365377433,1
DC_1,DC_3,SKU_4,3.527922508691359,2
DC_1,DC_3,SKU_5,2.1749017632134864,7
DC_1,DC_3,SKU_6,4.273213252293612,6
DC_1,DC_3,SKU_7,2.224779078389906,4
DC_1,DC_3,SKU_8,4.697197286597426,8
DC_1,DC_3,SKU_9,1.4012690804043166,6
DC_1,DC_3,SKU_10,3.8429667215057255,8
DC_1,DC_3,SKU_11,4.944468165535633,8
DC_1,DC_3,SKU_12,0.8080642370011013,1
DC_1,DC_3,SKU_13,4.643449738085108,6
DC_1,DC_3,SKU_14,4.098734437841875,7
DC_1,DC_3,SKU_15,1.709840814719871,1
DC_1,DC_3,SKU_16,4.529057401189261,9
DC_1,DC_3,SKU_17,0.6575356166306254,5
DC_1,DC_3,SKU_18,2.3510275992461476,6
DC_1,DC_3,SKU_19,2.4242060016650178,4
DC_1,DC_3,SKU_20,2.9076147706951976,5
DC_1,DC_3,SKU_21,4.027943114102099,2
DC_1,DC_3,SKU_22,4.211344568061534,6
DC_1,DC_3,SKU_23,4.032939713430684,9
DC_1,DC_3,SKU_24,1.4049442734920035,6
DC_1,DC_3,SKU_25,2.761840591835587,6
DC_1,DC_3,SKU_26,0.627400734812005,1
DC_1,DC_3,SKU_27,3.9399832763397695,6
DC_1,DC_3,SKU_28,3.448281715359521,1
DC_1,DC_3,SKU_29,4.658120916915798,5
DC_1,DC_3,SKU_30,1.222081764220519,5
DC_1,DC_3,SKU_31,4.0393507207588115,5
DC_1,DC_3,SKU_32,3.860494877901731,3
DC_1,DC_3,SKU_33,4.163565585160228,4
DC_1,DC_3,SKU_34,2.5079054943989467,4
DC_1,DC_3,SKU_35,1.8013435083317741,4
DC_1,DC_3,SKU_36,4.660524749195622,8
DC_1,DC_3,SKU_37,2.9902108453958642,9
DC_1,DC_3,SKU_38,2.105986888269996,4
DC_1,DC_3,SKU_39,4.426861111460759,7
DC_1,DC_3,SKU_40,1.4722705231014488,7
DC_1,DC_3,SKU_41,4.787667576511277,4
DC_1,DC_3,SKU_42,3.3449746898927706,1
DC_1,DC_3,SKU_43,2.7753536903988145,7
DC_1,DC_3,SKU_44,1.543026156302075,1
DC_1,DC_3,SKU_45,0.9615558316261541,9
DC_1,DC_3,SKU_46,0.8493834919495158,3
DC_1,DC_3,SKU_47,2.070005337688206,9
DC_1,DC_3,SKU_48,4.364675470256696,7
DC_1,DC_3,SKU_49,4.270587686833116,7
DC_1,DC_3,SKU_50,2.5782956657379965,9
DC_1,DC_4,SKU_1,0.5596296507675975,9
DC_1,DC_4,SKU_2,1.2216443275388442,5
DC_1,DC_4,SKU_3,2.349921239961979,4
DC_1,DC_4,SKU_4,1.533191723392859,7
DC_1,DC_4,SKU_5,2.433238664595635,7
DC_1,DC_4,SKU_6,0.5089646084858162,2
DC_1,DC_4,SKU_7,2.8935008555338135,2
DC_1,DC_4,SKU_8,1.8355400690893275,6
DC_1,DC_4,SKU_9,0.8759945187981039,1
DC_1,DC_4,SKU_10,2.3639041650732366,3
DC_1,DC_4,SKU_11,1.586915787657568,3
DC_1,DC_4,SKU_12,1.5006258713667662,9
DC_1,DC_4,SKU_13,1.4535244869804909,7
DC_1,DC_4,SKU_14,0.7597947165130274,6
DC_1,DC_4,SKU_15,1.7042035948776837,6
DC_1,DC_4,SKU_16,1.4879926545341087,8
DC_1,DC_4,SKU_17,3.2733521866657584,9
DC_1,DC_4,SKU_18,2.3709879658549484,1
DC_1,DC_4,SKU_19,2.9340725172713635,8
DC_1,DC_4,SKU_20,3.6596574328182325,1
DC_1,DC_4,SKU_21,1.416502119977082,2
DC_1,DC_4,SKU_22,2.3538114276534587,6
DC_1,DC_4,SKU_23,3.0893422427876676,1
DC_1,DC_4,SKU_24,2.73066687604351,7
DC_1,DC_4,SKU_25,1.1427888416644933,1
DC_1,DC_4,SKU_26,1.4281345122626867,5
DC_1,DC_4,SKU_27,3.9416043760667474,3
DC_1,DC_4,SKU_28,1.4194237252953663,1
DC_1,DC_4,SKU_29,4.781489129265565,1
DC_1,DC_4,SKU_30,0.5815581847057838,1
DC_1,DC_4,SKU_31,4.3578900606237845,3
DC_1,DC_4,SKU_32,3.0230523272252747,5
DC_1,DC_4,SKU_33,1.498552073529678,9
DC_1,DC_4,SKU_34,3.790924338664833,9
DC_1,DC_4,SKU_35,2.910454697064104,1
DC_1,DC_4,SKU_36,2.5927486173528997,6
DC_1,DC_4,SKU_37,4.294967755045475,3
DC_1,DC_4,SKU_38,1.073238872001527,6
DC_1,DC_4,SKU_39,4.062011911661164,3
DC_1,DC_4,SKU_40,4.1926944095446395,9
DC_1,DC_4,SKU_41,4.471519445475563,3
DC_1,DC_4,SKU_42,0.5601545746672804,9
DC_1,DC_4,SKU_43,4.1159194675817155,3
DC_1,DC_4,SKU_44,1.763968843338097,2
DC_1,DC_4,SKU_45,0.8013812541137219,6
DC_1,DC_4,SKU_46,2.6566704046154186,9
DC_1,DC_4,SKU_47,3.8438669283412104,4
DC_1,DC_4,SKU_48,3.41743103353443,2
DC_1,DC_4,SKU_49,2.189610178099252,6
DC_1,DC_4,SKU_50,2.450625047400355,3
DC_1,DC_5,SKU_1,1.490500966571389,6
DC_1,DC_5,SKU_2,3.7815563431113937,8
DC_1,DC_5,SKU_3,0.8092115497578244,4
DC_1,DC_5,SKU_4,2.589073338826512,4
DC_1,DC_5,SKU_5,0.7039367553240257,2
DC_1,DC_5,SKU_6,3.477579297799354,1
DC_1,DC_5,SKU_7,2.1795852037065524,2
DC_1,DC_5,SKU_8,3.9776430798065183,9
DC_1,DC_5,SKU_9,3.1145679201879926,9
DC_1,DC_5,SKU_10,3.1267111447911375,5
DC_1,DC_5,SKU_11,2.8448293572877454,7
DC_1,DC_5,SKU_12,3.548630366705628,4
DC_1,DC_5,SKU_13,1.1314603318708174,5
DC_1,DC_5,SKU_14,1.4325903489599523,7
DC_1,DC_5,SKU_15,3.4811777612372365,6
DC_1,DC_5,SKU_16,3.8749000930343187,1
DC_1,DC_5,SKU_17,1.6620395884977202,3
DC_1,DC_5,SKU_18,2.4492340009182487,4
DC_1,DC_5,SKU_19,4.336632297222542,5
DC_1,DC_5,SKU_20,3.3457609594777433,6
DC_1,DC_5,SKU_21,2.237953967676638,8
DC_1,DC_5,SKU_22,1.91222063700987,8
DC_1,DC_5,SKU_23,3.198970917367241,2
DC_1,DC_5,SKU_24,2.411828792906391,1
DC_1,DC_5,SKU_25,3.1310064057462115,2
DC_1,DC_5,SKU_26,2.2225944399637454,7
DC_1,DC_5,SKU_27,3.4677984588834656,1
DC_1,DC_5,SKU_28,1.7237571773830194,6
DC_1,DC_5,SKU_29,2.899631296755961,3
DC_1,DC_5,SKU_30,4.725808157526312,1
DC_1,DC_5,SKU_31,2.8792598859429606,5
DC_1,DC_5,SKU_32,3.625884315021775,4
DC_1,DC_5,SKU_33,4.2069532810960535,7
DC_1,DC_5,SKU_34,3.995557175332522,4
DC_1,DC_5,SKU_35,2.576853174148731,7
DC_1,DC_5,SKU_36,1.3447508256151344,4
DC_1,DC_5,SKU_37,3.981481542030496,4
DC_1,DC_5,SKU_38,2.157562462074581,8
DC_1,DC_5,SKU_39,0.6401709175702598,6
DC_1,DC_5,SKU_40,0.651543817435088,5
DC_1,DC_5,SKU_41,4.4980884946531425,5
DC_1,DC_5,SKU_42,3.33517945315992,2
DC_1,DC_5,SKU_43,4.026975750577622,9
DC_1,DC_5,SKU_44,4.540636341309496,8
DC_1,DC_5,SKU_45,1.963807782627865,7
DC_1,DC_5,SKU_46,4.982709530744505,6
DC_1,DC_5,SKU_47,0.9244734183096963,8
DC_1,DC_5,SKU_48,1.6205393124909047,6
DC_1,DC_5,SKU_49,3.680770351012435,6
DC_1,DC_5,SKU_50,0.9271307156975137,4
DC_1,DC_6,SKU_1,4.563921775444422,3
DC_1,DC_6,SKU_2,4.989327338309704,3
DC_1,DC_6,SKU_3,3.0702303438006244,1
DC_1,DC_6,SKU_4,4.825217370695743,5
DC_1,DC_6,SKU_5,4.026822129838564,5
DC_1,DC_6,SKU_6,1.5440818113896482,6
DC_1,DC_6,SKU_7,0.5771740186183916,8
DC_1,DC_6,SKU_8,3.306843881888041,4
DC_1,DC_6,SKU_9,0.6752210750944952,3
DC_1,DC_6,SKU_10,4.722861847361648,5
DC_1,DC_6,SKU_11,4.389949610907639,3
DC_1,DC_6,SKU_12,3.114276709496807,3
DC_1,DC_6,SKU_13,2.490322124530109,9
DC_1,DC_6,SKU_14,1.5299395811757455,3
DC_1,DC_6,SKU_15,4.407848545736219,2
DC_1,DC_6,SKU_16,2.0385737514747064,5
DC_1,DC_6,SKU_17,3.3488269407478084,5
DC_1,DC_6,SKU_18,4.980339992744976,2
DC_1,DC_6,SKU_19,3.422790183683513,1
DC_1,DC_6,SKU_20,2.575251055642595,6
DC_1,DC_6,SKU_21,3.169211985677607,2
DC_1,DC_6,SKU_22,2.130940951771231,6
DC_1,DC_6,SKU_23,2.179051782900726,7
DC_1,DC_6,SKU_24,4.662712289043565,5
DC_1,DC_6,SKU_25,0.7447583683504003,9
DC_1,DC_6,SKU_26,3.41887530545967,6
DC_1,DC_6,SKU_27,1.2029295590897988,7
DC_1,DC_6,SKU_28,3.1968595226274696,8
DC_1,DC_6,SKU_29,3.673126155067535,6
DC_1,DC_6,SKU_30,3.1087677069375115,1
DC_1,DC_6,SKU_31,4.268151858965679,2
DC_1,DC_6,SKU_32,0.586151905985765,1
DC_1,DC_6,SKU_33,3.2436384131867717,8
DC_1,DC_6,SKU_34,4.112649206710252,6
DC_1,DC_6,SKU_35,2.911707854834532,8
DC_1,DC_6,SKU_36,4.79090794033179,2
DC_1,DC_6,SKU_37,3.076732547969101,6
DC_1,DC_6,SKU_38,3.3915992464563534,6
DC_1,DC_6,SKU_39,3.124358619246939,8
DC_1,DC_6,SKU_40,0.927087985703058,6
DC_1,DC_6,SKU_41,3.6618809263620298,8
DC_1,DC_6,SKU_42,1.538575942669393,1
DC_1,DC_6,SKU_43,3.230811299930626,4
DC_1,DC_6,SKU_44,1.608287084647392,7
DC_1,DC_6,SKU_45,2.7570906496307677,8
DC_1,DC_6,SKU_46,1.384941132288314,5
DC_1,DC_6,SKU_47,4.100330444345905,9
DC_1,DC_6,SKU_48,4.987570549566212,4
DC_1,DC_6,SKU_49,1.4730215410750087,1
DC_1,DC_6,SKU_50,3.301837401193961,7
DC_1,DC_7,SKU_1,3.2854620411436466,5
DC_1,DC_7,SKU_2,0.7807733086922475,4
DC_1,DC_7,SKU_3,2.0637818709133144,5
DC_1,DC_7,SKU_4,4.889044100655817,1
DC_1,DC_7,SKU_5,3.5118887412284563,3
DC_1,DC_7,SKU_6,2.9834471138953353,2
DC_1,DC_7,SKU_7,0.8196570006980095,2
DC_1,DC_7,SKU_8,2.637279343686867,2
DC_1,DC_7,SKU_9,1.7085297535413917,4
DC_1,DC_7,SKU_10,2.473055218627602,4
DC_1,DC_7,SKU_11,4.8788455906053425,9
DC_1,DC_7,SKU_12,4.854926593713029,8
DC_1,DC_7,SKU_13,0.5391776617814461,7
DC_1,DC_7,SKU_14,4.09231938744134,8
DC_1,DC_7,SKU_15,1.4886805567613017,8
DC_1,DC_7,SKU_16,1.083555402009059,7
DC_1,DC_7,SKU_17,2.1451806545178504,4
DC_1,DC_7,SKU_18,3.532973936655787,4
DC_1,DC_7,SKU_19,1.4472812284940433,6
DC_1,DC_7,SKU_20,4.542071287789558,2
DC_1,DC_7,SKU_21,2.041903159351347,8
DC_1,DC_7,SKU_22,1.197163900145492,7
DC_1,DC_7,SKU_23,0.9436231716008555,7
DC_1,DC_7,SKU_24,3.6800399015496494,5
DC_1,DC_7,SKU_25,2.6532325231518286,8
DC_1,DC_7,SKU_26,1.8663077216472812,8
DC_1,DC_7,SKU_27,3.307993184880421,7
DC_1,DC_7,SKU_28,0.8702254592467784,7
DC_1,DC_7,SKU_29,4.929055246554952,9
DC_1,DC_7,SKU_30,3.7183390465110855,5
DC_1,DC_7,SKU_31,2.383732737132485,9
DC_1,DC_7,SKU_32,1.358266944159026,9
DC_1,DC_7,SKU_33,3.0842940879059495,3
DC_1,DC_7,SKU_34,4.9629779644066225,1
DC_1,DC_7,SKU_35,4.379913381461849,7
DC_1,DC_7,SKU_36,4.2804863529764,1
DC_1,DC_7,SKU_37,3.9432214796754486,8
DC_1,DC_7,SKU_38,2.171602681809696,5
DC_1,DC_7,SKU_39,2.7022664183296494,9
DC_1,DC_7,SKU_40,2.7165608183898393,6
DC_1,DC_7,SKU_41,4.272036894868103,7
DC_1,DC_7,SKU_42,1.026552761860758,2
DC_1,DC_7,SKU_43,1.054546590723462,7
DC_1,DC_7,SKU_44,2.5429546003986454,9
DC_1,DC_7,SKU_45,2.812328305594691,8
DC_1,DC_7,SKU_46,1.3838864714240782,1
DC_1,DC_7,SKU_47,4.180353375447632,6
DC_1,DC_7,SKU_48,3.0547729306897455,9
DC_1,DC_7,SKU_49,2.8080367498346424,6
DC_1,DC_7,SKU_50,1.534220266089283,7
DC_1,DC_8,SKU_1,4.695452412029949,6
DC_1,DC_8,SKU_2,1.0924411495696629,8
DC_1,DC_8,SKU_3,1.3337165992249567,3
DC_1,DC_8,SKU_4,1.4841941014561244,6
DC_1,DC_8,SKU_5,4.215699282023001,6
DC_1,DC_8,SKU_6,3.2173294214312507,6
DC_1,DC_8,SKU_7,4.864669364053359,8
DC_1,DC_8,SKU_8,2.1702628220878912,6
DC_1,DC_8,SKU_9,2.1854670952081157,3
DC_1,DC_8,SKU_10,4.725027320185737,1
DC_1,DC_8,SKU_11,3.782586964242487,5
DC_1,DC_8,SKU_12,1.2880541305865896,9
DC_1,DC_8,SKU_13,0.6135680563171889,5
DC_1,DC_8,SKU_14,4.433322979873333,7
DC_1,DC_8,SKU_15,3.1501988372550387,4
DC_1,DC_8,SKU_16,0.502940258425848,2
DC_1,DC_8,SKU_17,0.7408150831086948,4
DC_1,DC_8,SKU_18,3.8761959377247903,6
DC_1,DC_8,SKU_19,1.6941655022088895,1
DC_1,DC_8,SKU_20,2.080487243069514,1
DC_1,DC_8,SKU_21,1.8227709545760389,8
DC_1,DC_8,SKU_22,4.643328426541859,7
DC_1,DC_8,SKU_23,1.8115741107220724,8
DC_1,DC_8,SKU_24,4.66035110929355,7
DC_1,DC_8,SKU_25,0.5289584517355808,9
DC_1,DC_8,SKU_26,3.6611975371481096,7
DC_1,DC_8,SKU_27,2.6926940934502284,2
DC_1,DC_8,SKU_28,2.808149741486446,7
DC_1,DC_8,SKU_29,4.70827439026922,2
DC_1,DC_8,SKU_30,2.2903956635784226,2
DC_1,DC_8,SKU_31,1.2681876349061607,5
DC_1,DC_8,SKU_32,3.9330200099946384,7
DC_1,DC_8,SKU_33,3.4097019977689786,3
DC_1,DC_8,SKU_34,3.268081132435399,9
DC_1,DC_8,SKU_35,2.6074858367021605,5
DC_1,DC_8,SKU_36,0.7260935442034195,4
DC_1,DC_8,SKU_37,1.7531182801739855,9
DC_1,DC_8,SKU_38,2.47180375961755,6
DC_1,DC_8,SKU_39,4.983792321555749,3
DC_1,DC_8,SKU_40,3.8918033169260204,9
DC_1,DC_8,SKU_41,2.0120317654554896,1
DC_1,DC_8,SKU_42,3.9802147150201237,9
DC_1,DC_8,SKU_43,3.2374377500349727,8
DC_1,DC_8,SKU_44,4.650653681015463,1
DC_1,DC_8,SKU_45,3.2484682880826736,3
DC_1,DC_8,SKU_46,3.8784634214497506,1
DC_1,DC_8,SKU_47,1.4485165220960972,5
DC_1,DC_8,SKU_48,3.0460169967844837,7
DC_1,DC_8,SKU_49,4.673098312638337,6
DC_1,DC_8,SKU_50,0.797743349754982,5
DC_1,DC_9,SKU_1,3.872417026913639,3
DC_1,DC_9,SKU_2,2.8613103694764446,9
DC_1,DC_9,SKU_3,1.7726050880172488,3
DC_1,DC_9,SKU_4,2.0528768548095515,1
DC_1,DC_9,SKU_5,1.9949250692629472,2
DC_1,DC_9,SKU_6,3.5054055801536603,3
DC_1,DC_9,SKU_7,3.3669261537099913,1
DC_1,DC_9,SKU_8,3.4402257431540626,8
DC_1,DC_9,SKU_9,1.928973651159148,2
DC_1,DC_9,SKU_10,3.2882716712521503,5
DC_1,DC_9,SKU_11,4.481848029632019,4
DC_1,DC_9,SKU_12,2.0768596250458886,1
DC_1,DC_9,SKU_13,1.7672721894753427,4
DC_1,DC_9,SKU_14,3.551512239293939,1
DC_1,DC_9,SKU_15,3.6781077314986796,7
DC_1,DC_9,SKU_16,2.4604015570542943,3
DC_1,DC_9,SKU_17,1.9034574609367636,3
DC_1,DC_9,SKU_18,1.1401485789956693,8
DC_1,DC_9,SKU_19,2.4925916144468188,1
DC_1,DC_9,SKU_20,0.90045371685356,8
DC_1,DC_9,SKU_21,2.9345130451744814,8
DC_1,DC_9,SKU_22,4.725483899386899,2
DC_1,DC_9,SKU_23,4.6788375295192735,9
DC_1,DC_9,SKU_24,1.5799521374148089,8
DC_1,DC_9,SKU_25,3.178457753570936,8
DC_1,DC_9,SKU_26,2.0364137132193423,9
DC_1,DC_9,SKU_27,4.609547061896554,3
DC_1,DC_9,SKU_28,1.6099637711243293,6
DC_1,DC_9,SKU_29,3.478611346866552,4
DC_1,DC_9,SKU_30,3.8924063721946087,3
DC_1,DC_9,SKU_31,4.569618987472357,5
DC_1,DC_9,SKU_32,1.0165861726307606,1
DC_1,DC_9,SKU_33,0.5309508299884219,9
DC_1,DC_9,SKU_34,3.4858561726105353,2
DC_1,DC_9,SKU_35,4.352596245561846,2
DC_1,DC_9,SKU_36,4.530032816593274,7
DC_1,DC_9,SKU_37,1.827825571689392,7
DC_1,DC_9,SKU_38,0.9817573034938373,6
DC_1,DC_9,SKU_39,1.357744248835024,3
DC_1,DC_9,SKU_40,2.039484293886173,9
DC_1,DC_9,SKU_41,4.384109919810825,4
DC_1,DC_9,SKU_42,1.0395099206272045,1
DC_1,DC_9,SKU_43,1.0261559098642616,4
DC_1,DC_9,SKU_44,3.8024740886114357,9
DC_1,DC_9,SKU_45,1.2398248808549543,9
DC_1,DC_9,SKU_46,2.2555410560975266,6
DC_1,DC_9,SKU_47,4.560858649787465,7
DC_1,DC_9,SKU_48,3.4639760972289513,2
DC_1,DC_9,SKU_49,0.9763395614505899,3
DC_1,DC_9,SKU_50,3.0497236650745836,7
DC_1,DC_10,SKU_1,3.648604590764188,8
DC_1,DC_10,SKU_2,2.2978345306412065,9
DC_1,DC_10,SKU_3,4.741966296349837,8
DC_1,DC_10,SKU_4,4.219479833861589,5
DC_1,DC_10,SKU_5,0.9443174309719964,5
DC_1,DC_10,SKU_6,2.5879176417509933,8
DC_1,DC_10,SKU_7,0.9147558131259454,6
DC_1,DC_10,SKU_8,1.4661314935850995,9
DC_1,DC_10,SKU_9,4.530640834397175,2
DC_1,DC_10,SKU_10,3.824900047098647,3
DC_1,DC_10,SKU_11,3.4642293742716,7
DC_1,DC_10,SKU_12,1.2763574462586293,8
DC_1,DC_10,SKU_13,1.8336092608097978,6
DC_1,DC_10,SKU_14,2.4059656219635333,9
DC_1,DC_10,SKU_15,0.64300317960796,5
DC_1,DC_10,SKU_16,1.5803183321940493,2
DC_1,DC_10,SKU_17,0.7265728713620896,4
DC_1,DC_10,SKU_18,0.622625053778668,1
DC_1,DC_10,SKU_19,2.5606804749531253,8
DC_1,DC_10,SKU_20,4.952442946008342,1
DC_1,DC_10,SKU_21,1.6378615321255003,6
DC_1,DC_10,SKU_22,4.539846049293764,1
DC_1,DC_10,SKU_23,0.8439793746775145,3
DC_1,DC_10,SKU_24,2.0786859920075704,8
DC_1,DC_10,SKU_25,1.2123675504752645,1
DC_1,DC_10,SKU_26,1.976807672589254,1
DC_1,DC_10,SKU_27,4.255659286678725,6
DC_1,DC_10,SKU_28,3.045596774634526,8
DC_1,DC_10,SKU_29,4.13782582502161,6
DC_1,DC_10,SKU_30,3.928476253380998,1
DC_1,DC_10,SKU_31,1.7409083199857658,8
DC_1,DC_10,SKU_32,4.696496952886904,6
DC_1,DC_10,SKU_33,3.556396180405262,1
DC_1,DC_10,SKU_34,2.3934254079466664,2
DC_1,DC_10,SKU_35,0.6469657735302314,5
DC_1,DC_10,SKU_36,1.9031096163009589,6
DC_1,DC_10,SKU_37,1.2254846538880515,2
DC_1,DC_10,SKU_38,4.870179083157286,1
DC_1,DC_10,SKU_39,4.676458259794039,7
DC_1,DC_10,SKU_40,2.3795014811764763,7
DC_1,DC_10,SKU_41,2.8053515609918627,3
DC_1,DC_10,SKU_42,0.8456137174148969,3
DC_1,DC_10,SKU_43,1.541660431608447,3
DC_1,DC_10,SKU_44,2.314434902599635,8
DC_1,DC_10,SKU_45,1.9384342488142814,1
DC_1,DC_10,SKU_46,4.546671615161103,2
DC_1,DC_10,SKU_47,0.9764344319590819,4
DC_1,DC_10,SKU_48,2.359276327434738,5
DC_1,DC_10,SKU_49,0.8154866283856563,4
DC_1,DC_10,SKU_50,3.003476032656857,4
DC_2,DC_1,SKU_1,2.3863229415595457,2
DC_2,DC_1,SKU_2,3.0066823097376583,6
DC_2,DC_1,SKU_3,1.9296261389622298,9
DC_2,DC_1,SKU_4,1.908725652784161,2
DC_2,DC_1,SKU_5,4.487817974582053,8
DC_2,DC_1,SKU_6,2.590759259640369,7
DC_2,DC_1,SKU_7,3.359364605878594,9
DC_2,DC_1,SKU_8,1.7856481732014404,6
DC_2,DC_1,SKU_9,2.890823082579194,5
DC_2,DC_1,SKU_10,4.0143373863999585,7
DC_2,DC_1,SKU_11,3.7917340881941257,7
DC_2,DC_1,SKU_12,4.248183720084026,6
DC_2,DC_1,SKU_13,4.744286703325782,4
DC_2,DC_1,SKU_14,3.95657680271397,6
DC_2,DC_1,SKU_15,1.6302617039678058,2
DC_2,DC_1,SKU_16,1.622763858572338,9
DC_2,DC_1,SKU_17,1.8881072667026781,4
DC_2,DC_1,SKU_18,1.4684201587993675,8
DC_2,DC_1,SKU_19,0.6767123640874354,3
DC_2,DC_1,SKU_20,4.228196602528584,1
DC_2,DC_1,SKU_21,3.6351280014653686,4
DC_2,DC_1,SKU_22,1.5525361916249156,3
DC_2,DC_1,SKU_23,2.0561274428469125,6
DC_2,DC_1,SKU_24,4.19192069116559,3
